# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-716.8005,3.324,2.7533
318.8237,-716.76245,3.33335,2.75105
318.1655,-716.7238667,3.3418,2.752266667
317.50735,-716.6848,3.34945,2.75565
316.84928,-716.64522,3.35632,2.76072
315.53314,-716.5661,3.37012,2.76998
314.21724,-716.4855,3.3816,2.78432
312.90154,-716.40346,3.3909,2.80194
311.58606,-716.32,3.39812,2.82196
310.27078,-716.23516,3.40338,2.84364
308.9557,-716.14896,3.40678,2.8663
307.6408,-716.06142,3.40846,2.88946
306.3261,-715.97258,3.40854,2.91278
305.0116,-715.88244,3.40714,2.93594
303.6973,-715.79104,3.40438,2.95868
302.38318,-715.6984,3.4004,2.98078
301.06924,-715.60456,3.39582,3.00196
299.75546,-715.50952,3.38968,3.02196
298.44184,-715.41334,3.38212,3.04054
297.12838,-715.31602,3.37324,3.05744
295.8151,-715.21758,3.36316,3.0725
294.50196,-715.11806,3.35148,3.08566
293.189,-715.0175,3.3394,3.09698
291.87618,-714.9159,3.32704,3.10666
290.5635,-714.8133,3.31452,3.11498
289.25096,-714.70974,3.30198,3.12226
287.93856,-714.60522,3.28956,3.12884
286.62628,-714.49976,3.2774,3.13502
285.31414,-714.3934,3.2656,3.14112
284.00214,-714.28618,3.2543,3.14746
282.69024,-714.1781,3.24362,3.15436
281.37848,-714.0692,3.2337,3.16216
280.06682,-713.9595,3.22466,3.17116
278.75528,-713.84904,3.21662,3.1817
277.44382,-713.73782,3.2097,3.19404
276.13248,-713.62588,3.20392,3.2083
274.82122,-713.51324,3.1993,3.2245
273.51006,-713.39996,3.19578,3.24262
272.199,-713.28602,3.1933,3.26244
270.88802,-713.17148,3.19174,3.28374
269.57712,-713.05634,3.19104,3.30632
268.2663,-712.94064,3.19108,3.32996
266.95556,-712.82438,3.19178,3.3544
265.64486,-712.70762,3.19304,3.37944
264.33424,-712.59036,3.19478,3.40488
263.02368,-712.47264,3.1969,3.43046
261.71318,-712.35448,3.19928,3.45596
260.40272,-712.23592,3.20186,3.48118
259.09232,-712.11696,3.20454,3.50588
257.78198,-711.99766,3.20724,3.52984
256.47166,-711.87802,3.20984,3.55288
255.16138,-711.75808,3.21228,3.57488
253.85114,-711.63786,3.21446,3.59576
252.54092,-711.51738,3.21626,3.61554
251.23072,-711.39666,3.2176,3.63422
249.92054,-711.27574,3.2184,3.6519
248.61038,-711.15464,3.21856,3.66864
247.30024,-711.03338,3.21832,3.68452
245.99012,-710.91202,3.21676,3.69958
244.67998,-710.79054,3.21376,3.71392
243.36986,-710.669,3.20926,3.7276
242.05972,-710.5474,3.2032,3.74068
240.74958,-710.42578,3.19526,3.75324
239.43942,-710.30414,3.18634,3.76534
238.12926,-710.18256,3.17654,3.77706
236.81906,-710.06102,3.166,3.78844
235.50884,-709.93956,3.1549,3.79958
234.19858,-709.8182,3.14338,3.81052
