# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7516,6.5399
318.16445,-712.93985,6.763999999999999,6.53615
316.8469666666667,-712.8676,6.770933333333333,6.5391
315.5296,-712.794025,6.77655,6.54695
314.21232,-712.71912,6.7812,6.557939999999999
312.8951333333333,-712.6429333333334,6.785483333333333,6.572516666666666
311.57802857142855,-712.5654857142857,6.789957142857142,6.586257142857143
308.94372857142855,-712.4119714285715,6.801085714285714,6.607342857142856
306.30968571428576,-712.2546857142858,6.810785714285714,6.631242857142857
303.6759,-712.093757142857,6.821585714285713,6.653885714285714
301.04235714285716,-711.9292857142857,6.833557142857143,6.6720999999999995
298.4090571428572,-711.7614,6.846985714285714,6.684028571428572
295.7759857142857,-711.5902,6.861671428571428,6.6873000000000005
293.14314285714283,-711.4158142857142,6.876971428571429,6.684542857142858
290.5105,-711.2383571428571,6.892171428571428,6.676528571428571
287.87807142857145,-711.0579428571428,6.906557142857143,6.664700000000001
285.2458571428572,-710.8746857142858,6.9194,6.651157142857143
282.6138285714286,-710.6887,6.929971428571428,6.638357142857144
279.98197142857146,-710.5001,6.937714285714286,6.6283142857142865
277.3503,-710.3090142857143,6.942157142857143,6.622414285714285
274.71878571428573,-710.1155571428571,6.943042857142857,6.621428571428572
272.0874428571429,-709.9198428571428,6.940228571428571,6.625485714285714
269.45625714285717,-709.7219714285715,6.933714285714286,6.634128571428571
266.8252,-709.5220714285714,6.923685714285715,6.646228571428572
264.19428571428574,-709.3202571428573,6.910457142857143,6.660214285714285
261.5635142857143,-709.1166571428572,6.894342857142858,6.674457142857142
258.93285714285713,-708.9113857142856,6.875714285714286,6.687628571428571
256.3023142857143,-708.7045428571429,6.8549,6.69872857142857
253.6718857142857,-708.4962428571428,6.832242857142857,6.707114285714285
251.04154285714284,-708.2866285714287,6.808085714285714,6.712414285714286
248.4113,-708.0758,6.7827714285714285,6.714657142857142
245.78114285714284,-707.8638714285714,6.756657142857143,6.714157142857142
243.15105714285716,-707.6509571428571,6.730099999999999,6.711514285714286
240.5210285714286,-707.4371714285714,6.703471428571428,6.707371428571428
237.89107142857142,-707.2226428571428,6.6771714285714285,6.702385714285714
235.26115714285714,-707.0074857142857,6.651585714285715,6.697257142857143
232.6312857142857,-706.7918142857143,6.627142857142857,6.692828571428572
230.00145714285713,-706.5757428571429,6.6042571428571435,6.68997142857143
227.3716428571429,-706.3593857142857,6.583357142857143,6.6896571428571425
224.74185714285713,-706.1428714285714,6.564885714285714,6.6929428571428575
222.1120857142857,-705.9263,6.549257142857143,6.700957142857143
219.4823142857143,-705.7097857142855,6.536900000000001,6.714828571428571
216.85254285714288,-705.4934571428572,6.527557142857142,6.735057142857143
214.22277142857143,-705.2774142857144,6.5211428571428565,6.761214285714286
211.59297142857145,-705.0617857142857,6.518028571428571,6.791942857142857
208.96315714285714,-704.8466857142857,6.518428571428571,6.824985714285715
206.3333,-704.6322285714285,6.522428571428572,6.857142857142857
203.70340000000002,-704.4185285714285,6.529985714285714,6.8843000000000005
201.07345714285717,-704.2057142857144,6.540900000000001,6.901642857142858
198.44345714285714,-703.9939,6.555528571428572,6.905371428571429
195.81338571428572,-703.7831857142857,6.573885714285714,6.893457142857143
193.18324285714286,-703.5737,6.595414285714286,6.865714285714285
190.55301428571428,-703.3655714285715,6.6195571428571425,6.8237000000000005
187.9227,-703.1588857142858,6.645757142857143,6.770814285714286
185.2923,-702.9537714285715,6.673414285714286,6.712242857142857
182.66180000000003,-702.7501714285715,6.701814285714286,6.654942857142857
180.03121428571427,-702.5479000000001,6.730071428571429,6.606557142857143
177.40057142857145,-702.3466142857143,6.757157142857143,6.574671428571428
174.7699142857143,-702.1457571428572,6.782057142857143,6.5643714285714285
172.1392857142857,-701.9446428571429,6.803828571428572,6.576928571428572
169.50874285714286,-701.7424285714286,6.821671428571428,6.609685714285715
