# x_m,y_m,w_tr_right_m,w_tr_left_m
319.4402,-712.939,6.687,5.0868
318.78585,-712.8498,6.63885,5.10635
318.1314333,-712.7611333,6.590833333,5.123066667
317.476925,-712.672975,6.543,5.137075
316.82232,-712.58534,6.4954,5.14844
315.5131,-712.41004,6.40038,5.17132
314.20362,-712.23626,6.3063,5.18642
312.89388,-712.06398,6.21346,5.19408
311.58386,-711.89318,6.12218,5.19464
310.2736,-711.72384,6.03282,5.1886
308.9631,-711.55598,5.94566,5.17662
307.65236,-711.38958,5.86104,5.15954
306.34136,-711.22462,5.77918,5.13836
305.03014,-711.0611,5.70026,5.11424
303.71866,-710.899,5.62432,5.08834
302.40696,-710.7383,5.55134,5.06188
301.09502,-710.57898,5.48122,5.03604
299.78286,-710.42106,5.41386,5.01202
298.47048,-710.26452,5.34912,4.99098
297.15788,-710.10934,5.2869,4.9741
295.84506,-709.9555,5.2271,4.96224
294.53202,-709.80302,5.16958,4.9559
293.21878,-709.65184,5.11424,4.95522
291.90534,-709.50198,5.06096,4.95998
290.5917,-709.35342,5.00962,4.96964
289.27786,-709.20616,4.9601,4.98356
287.96384,-709.06018,4.9123,5.00112
286.64962,-708.91548,4.86608,5.02168
285.33522,-708.77202,4.82134,5.04462
284.02064,-708.62982,4.77796,5.0693
282.70588,-708.48886,4.73582,5.09508
281.39094,-708.3491,4.6948,5.12132
280.07584,-708.21056,4.6548,5.1474
278.76056,-708.07322,4.61568,5.17272
277.44512,-707.93706,4.57736,5.19686
276.12952,-707.80208,4.53978,5.2196
274.81376,-707.66828,4.50288,5.24092
273.49784,-707.53562,4.46666,5.26098
272.18178,-707.4041,4.43112,5.28012
270.86558,-707.27372,4.39628,5.29872
269.54922,-707.14444,4.36214,5.31712
268.23274,-707.01626,4.32874,5.3357
266.91612,-706.88918,4.29606,5.35482
265.59936,-706.7632,4.26414,5.37486
264.28246,-706.63828,4.233,5.39618
262.96546,-706.51442,4.20264,5.41916
261.64832,-706.39162,4.17308,5.44414
260.33106,-706.26984,4.14436,5.47152
259.0137,-706.14908,4.11648,5.50164
257.69624,-706.02934,4.08944,5.53486
256.37866,-705.9106,4.0633,5.5715
255.06098,-705.79284,4.03804,5.61168
253.7432,-705.67608,4.01368,5.65538
252.42532,-705.56028,3.99024,5.70242
251.10734,-705.44542,3.96776,5.75794
249.78928,-705.33152,3.94622,5.81598
248.47114,-705.21854,3.92566,5.87606
247.15292,-705.10648,3.90608,5.93768
245.83462,-704.99532,3.88752,6.00034
244.51626,-704.88508,3.86996,6.05806
243.19782,-704.77572,3.85344,6.11584
241.8793,-704.66724,3.83798,6.17324
240.56072,-704.55962,3.8236,6.2298
239.24208,-704.45286,3.81032,6.28508
237.92338,-704.34692,3.79816,6.33862
236.60464,-704.2418,3.78716,6.38998
235.28586,-704.1375,3.77734,6.4387
233.96704,-704.034,3.76872,6.48434
232.64816,-703.93128,3.76134,6.5265
231.32924,-703.82936,3.75524,6.5648
230.01028,-703.7282,3.75042,6.5989
228.6913,-703.6278,3.74692,6.62852
227.37228,-703.52814,3.74478,6.65338
226.05324,-703.42924,3.744,6.6732
224.73418,-703.33104,3.74462,6.6877
223.41512,-703.23356,3.74668,6.69662
222.09604,-703.13678,3.7502,6.69968
220.77694,-703.04068,3.7552,6.6966
219.45784,-702.94524,3.7617,6.6871
218.13876,-702.85048,3.76974,6.67094
216.81966,-702.75638,3.77934,6.64782
215.50056,-702.66292,3.79052,6.61746
214.18148,-702.5701,3.80332,6.5796
212.86242,-702.4779,3.81778,6.534
211.54336,-702.38628,3.83392,6.48058
210.22432,-702.29526,3.85174,6.41966
208.9053,-702.20482,3.87128,6.35184
207.58632,-702.11494,3.89254,6.27802
206.26736,-702.02562,3.91546,6.19944
204.94844,-701.93688,3.937,6.11742
203.62956,-701.84866,3.95964,6.03328
202.31072,-701.76096,3.98326,5.94836
200.99192,-701.67378,4.00776,5.864
199.67318,-701.5871,4.03308,5.7815
198.35448,-701.5009,4.0621,5.70222
197.03584,-701.41518,4.0922,5.62746
195.71726,-701.32994,4.1233,5.55836
194.39876,-701.24516,4.15532,5.49564
193.0803,-701.16082,4.18814,5.4396
191.76192,-701.0769,4.22168,5.3901
190.44362,-700.9934,4.25582,5.34654
189.1254,-700.9103,4.29048,5.3081
187.80724,-700.8276,4.32554,5.27392
186.48918,-700.7453,4.36094,5.24314
185.1712,-700.66338,4.39654,5.21488
183.8533,-700.58182,4.43228,5.1883
182.53552,-700.5006,4.46804,5.16254
181.21784,-700.41972,4.50374,5.13674
179.90026,-700.33914,4.53924,5.11006
178.58278,-700.2588,4.57442,5.08168
177.2654,-700.17862,4.60908,5.05086
175.94808,-700.09846,4.643,5.01684
174.63082,-700.01816,4.67594,4.9789
173.31362,-699.93752,4.70764,4.93636
171.99646,-699.85638,4.73786,4.8888
170.67932,-699.77456,4.76644,4.8363
169.3622,-699.6919,4.79326,4.7796
168.04508,-699.60818,4.81822,4.72004
166.72792,-699.52326,4.84128,4.65956
165.41072,-699.43694,4.86244,4.60046
164.09348,-699.34904,4.88166,4.5451
162.77616,-699.25938,4.89892,4.4958
161.45876,-699.1678,4.9142,4.45492
160.14126,-699.0741,4.92748,4.42462
158.82364,-698.97812,4.93874,4.4062
157.50588,-698.87968,4.94794,4.4
156.18798,-698.77858,4.95508,4.40536
154.86992,-698.67466,4.96012,4.42058
153.55168,-698.56774,4.96306,4.44312
152.23326,-698.45762,4.96386,4.47034
150.91462,-698.34412,4.96252,4.49954
149.59576,-698.2271,4.959,4.52802
148.27666,-698.10634,4.95434,4.55286
146.95732,-697.98168,4.947,4.5695
145.6377,-697.85294,4.93708,4.57494
144.3178,-697.71996,4.92496,4.56676
142.99758,-697.58252,4.91136,4.54362
141.67712,-697.44028,4.8961,4.50562
140.35666,-697.29236,4.88132,4.45612
139.03664,-697.13732,4.86728,4.39854
137.71776,-696.97312,4.8537,4.33736
136.4009,-696.7972,4.8397,4.27764
135.08706,-696.60658,4.82398,4.22488
133.77728,-696.39826,4.80524,4.18412
132.47264,-696.1692,4.78592,4.15768
131.17414,-695.91642,4.75832,4.14348
129.88282,-695.6369,4.72084,4.13846
128.59974,-695.32764,4.67192,4.13732
127.32594,-694.9856,4.6099,4.13434
126.0624,-694.60828,4.5396,4.12146
124.80998,-694.1941,4.45338,4.09652
123.56946,-693.74264,4.35122,4.05858
122.34146,-693.25454,4.23374,4.0093
121.12648,-692.7315,4.1023,3.95168
119.92496,-692.17582,3.94872,3.89414
118.73734,-691.5899,3.80534,3.84292
117.5639,-690.9762,3.6544,3.80452
116.40428,-690.33762,3.49858,3.7822
115.25748,-689.67748,3.3413,3.7763
114.12178,-688.9996,3.18658,3.78424
112.99482,-688.30824,3.02154,3.80162
111.87366,-687.60798,2.87076,3.821
110.75534,-686.90346,2.73868,3.83576
109.6371,-686.199,2.62898,3.84044
108.51688,-685.49778,2.54382,3.8317
107.39334,-684.80188,2.5,3.80834
106.26586,-684.11226,2.5,3.77132
105.13454,-683.42874,2.5,3.72332
104,-682.75032,2.5,3.66798
102.86288,-682.07602,2.5,3.609
101.72382,-681.40478,2.5098,3.5501
100.58346,-680.73558,2.56088,3.49498
99.44248,-680.06736,2.62052,3.44688
98.3015,-679.39914,2.68582,3.40818
97.16116,-678.72984,2.7539,3.38044
96.0221,-678.05844,2.82222,3.36436
94.885,-677.38392,2.88854,3.35982
93.75046,-676.70526,2.95098,3.36628
92.61904,-676.02158,3.00814,3.383
91.49112,-675.3323,3.05926,3.40892
90.3669,-674.63712,3.1039,3.44266
89.24638,-673.936,3.14196,3.4825
88.12946,-673.22916,3.17364,3.52642
87.0159,-672.51694,3.1993,3.57228
85.9055,-671.79968,3.2193,3.61792
84.79806,-671.07774,3.23396,3.66118
83.69338,-670.35144,3.24364,3.70006
82.59122,-669.62114,3.2487,3.73302
81.4914,-668.88718,3.24948,3.75918
80.3937,-668.1499,3.2463,3.77818
79.2979,-667.40964,3.23954,3.79032
78.2038,-666.66674,3.22956,3.7963
77.11118,-665.92154,3.21856,3.79696
76.01984,-665.1744,3.20462,3.79308
74.92958,-664.42566,3.18804,3.7855
73.84018,-663.67566,3.16908,3.77502
72.75144,-662.92474,3.14798,3.76072
71.66316,-662.17326,3.1231,3.74496
70.57512,-661.42154,3.09692,3.72848
69.48712,-660.66992,3.06966,3.71184
68.39894,-659.91876,3.04158,3.69538
67.31036,-659.1684,3.0129,3.68102
66.22118,-658.41916,2.98386,3.66716
65.1312,-657.6714,2.9547,3.65368
64.0402,-656.92548,2.92566,3.6404
62.948,-656.18166,2.89692,3.62724
61.85446,-655.44016,2.8686,3.61414
60.75946,-654.70118,2.84076,3.6011
59.66288,-653.9648,2.81336,3.58814
58.56466,-653.23104,2.78632,3.57536
57.46478,-652.49994,2.75952,3.5628
56.36314,-651.77154,2.73286,3.5505
55.2597,-651.04582,2.70624,3.53852
54.15442,-650.32282,2.67954,3.5269
53.04724,-649.60258,2.65268,3.51566
51.93808,-648.8851,2.62552,3.50486
50.82692,-648.1704,2.59796,3.49456
49.71368,-647.4585,2.56994,3.4848
48.59832,-646.74942,2.54168,3.47634
47.48076,-646.04318,2.51354,3.46842
46.36098,-645.33978,2.5,3.46106
45.2389,-644.63926,2.5,3.45432
44.11446,-643.94166,2.5,3.44828
42.98762,-643.24698,2.5,3.4423
41.85834,-642.55524,2.5,3.437
40.72652,-641.86648,2.5,3.4326
39.59218,-641.18064,2.5,3.4287
38.45554,-640.49742,2.5,3.42494
37.3171,-639.81612,2.5,3.42108
36.1777,-639.13568,2.5,3.4173
35.03846,-638.45468,2.5,3.41348
33.90076,-637.77138,2.5,3.4102
32.76606,-637.08392,2.5263,3.40816
31.63578,-636.3905,2.56448,3.40802
30.51138,-635.68928,2.60386,3.41042
29.39432,-634.97844,2.64312,3.41606
28.28602,-634.25616,2.68094,3.42562
27.18794,-633.5206,2.71602,3.43974
26.10154,-632.76994,2.74706,3.45908
25.02824,-632.00234,2.77142,3.48428
23.9695,-631.21598,2.78646,3.51568
22.92674,-630.40908,2.7908,3.5552
21.90094,-629.58048,2.78376,3.5971
20.8925,-628.72988,2.7657,3.6388
19.90122,-627.85788,2.73934,3.67642
18.92628,-626.96596,2.7085,3.70502
17.96628,-626.0564,2.67674,3.71674
17.01968,-625.1318,2.64796,3.71012
16.08542,-624.19418,2.62534,3.68068
15.16362,-623.2444,2.61034,3.62724
14.25564,-622.28198,2.60262,3.53872
13.3641,-621.30526,2.59668,3.43116
12.49278,-620.31126,2.5886,3.31408
11.64616,-619.29662,2.57364,3.19882
10.82864,-618.2586,2.54744,3.09628
10.04452,-617.19532,2.5062,3.03004
9.29784,-616.10568,2.5,3.00326
8.5908,-614.99016,2.5,3.01288
7.92236,-613.851,2.5,3.05626
7.28834,-612.69186,2.5,3.1254
6.68138,-611.51766,2.5,3.20706
6.09252,-610.3338,2.5,3.28044
5.5149,-609.14424,2.5,3.33904
4.94532,-607.9509,2.5,3.37538
4.38382,-606.7539,2.5,3.38724
3.8329,-605.55212,2.5,3.37674
3.29606,-604.34404,2.5,3.34868
2.7757,-603.12892,2.5,3.30802
2.27294,-601.90684,2.5,3.25876
1.7879,-600.67838,2.5,3.19562
1.3205,-599.44404,2.5,3.12696
0.87044,-598.20424,2.54766,3.05462
0.43726,-596.95924,2.698,2.97998
0.02038,-595.70926,2.85234,2.90396
-0.38084,-594.45448,3.00636,2.8353
-0.76702,-593.1951,3.14332,2.76854
-1.13878,-591.93128,3.27122,2.70426
-1.49674,-590.66324,3.38628,2.64302
-1.84154,-589.39116,3.48496,2.58542
-2.17378,-588.1152,3.56478,2.53204
-2.49412,-586.83556,3.63684,2.5
-2.80316,-585.55244,3.6887,2.5
-3.10152,-584.26602,3.72094,2.5
-3.38984,-582.97648,3.73504,2.5
-3.66874,-581.68404,3.73264,2.5
-3.93884,-580.38886,3.7154,2.5
-4.20076,-579.09114,3.68498,2.5
-4.45516,-577.79104,3.64302,2.5
-4.70262,-576.48878,3.5912,2.5
-4.9438,-575.18452,3.53118,2.5
-5.1793,-573.87848,3.4646,2.5
-5.40974,-572.57082,3.39314,2.5
-5.63576,-571.26174,3.31846,2.5
-5.85798,-569.95142,3.24222,2.5
-6.077,-568.64006,3.16608,2.5
-6.29348,-567.32782,3.09172,2.5
-6.50804,-566.0149,3.0208,2.51052
-6.72128,-564.7015,2.95498,2.54616
-6.93386,-563.3878,2.89592,2.58402
-7.1464,-562.074,2.8453,2.62372
-7.35948,-560.76028,2.80478,2.66486
-7.57378,-559.44682,2.77602,2.7071
-7.78988,-558.13382,2.7607,2.75062
-8.00842,-556.82146,2.76048,2.79624
-8.22998,-555.5099,2.77674,2.84544
-8.45512,-554.1993,2.80886,2.90042
-8.68426,-552.88982,2.85338,2.96404
-8.91782,-551.58158,2.90516,3.03936
-9.15612,-550.27466,2.95884,3.1295
-9.39944,-548.96918,3.00926,3.2374
-9.6481,-547.66522,3.05312,3.36464
-9.90238,-546.36288,3.0899,3.51106
-10.1626,-545.06222,3.1206,3.6748
-10.42904,-543.76338,3.14636,3.8523
-10.70202,-542.46642,3.1683,4.03852
-10.98182,-541.17144,3.18756,4.22806
-11.26876,-539.87852,3.20524,4.4155
-11.56312,-538.58778,3.2225,4.59544
-11.8652,-537.29928,3.24046,4.76244
-12.1753,-536.01314,3.26024,4.91108
-12.49372,-534.72946,3.28298,5.03646
-12.82074,-533.44832,3.30982,5.13506
-13.15668,-532.1698,3.34188,5.20484
-13.50184,-530.894,3.3803,5.24524
-13.85652,-529.621,3.4262,5.25714
-14.221,-528.3509,3.48074,5.24908
-14.59562,-527.0838,3.54504,5.2174
-14.98064,-525.8198,3.62022,5.1638
-15.37636,-524.55898,3.70742,5.09014
-15.78308,-523.30144,3.8078,4.99914
-16.20112,-522.04726,3.92246,4.88806
-16.63074,-520.79654,4.05254,4.7676
-17.07226,-519.54936,4.19916,4.64428
-17.52592,-518.3058,4.36338,4.52572
-17.98966,-517.06534,4.5439,4.42216
-18.4569,-515.82622,4.73476,4.34846
-18.91642,-514.58544,4.92512,4.34144
-19.35276,-513.3389,5.09182,4.40714
-19.7498,-512.08242,5.22564,4.55348
-20.0946,-510.81278,5.31818,4.7962
-20.37958,-509.52842,5.36788,5.07884
-20.60272,-508.22938,5.38512,5.35782
-20.76708,-506.9172,5.40262,5.60264
-20.87732,-505.5939,5.42494,5.80066
-20.93762,-504.2617,5.48604,5.9402
-20.94832,-502.92422,5.60768,6.0708
-20.90444,-501.5871,5.75958,6.24654
-20.7957,-500.25798,5.92946,6.51564
-20.6065,-498.94646,6.11308,6.92488
-20.31688,-497.66388,6.27282,7.40574
-19.91096,-496.42114,6.3813,7.94212
-19.3817,-495.22748,6.45946,8.43428
-18.73086,-494.09054,6.50338,8.83338
-17.96822,-493.01636,6.5076,9.0694
-17.10924,-492.00938,6.48372,9.17412
-16.1699,-491.0734,6.44136,9.13092
-15.16332,-490.2122,6.38676,8.97166
-14.09984,-489.42948,6.29926,8.7092
-12.98744,-488.7281,6.20518,8.36738
-11.83306,-488.10874,6.08536,7.9776
