# x_m,y_m,w_tr_right_m,w_tr_left_m
319.4402,-712.939,6.6869,5.0868
318.78585,-712.8498,6.6388,5.10635
318.1314,-712.7611333,6.590766667,5.123066667
317.47685,-712.672975,6.542925,5.137075
316.8222,-712.58532,6.49534,5.14842
315.51292,-712.41,6.40032,5.1713
314.20338,-712.2362,6.30622,5.1864
312.89356,-712.0639,6.21338,5.19406
311.5835,-711.8931,6.1221,5.1946
310.27318,-711.72378,6.03272,5.18856
308.96262,-711.55592,5.94556,5.17656
307.6518,-711.38952,5.86094,5.15946
306.34076,-711.22456,5.77908,5.13826
305.02946,-711.06102,5.70016,5.11412
303.71794,-710.8989,5.62422,5.08822
302.40618,-710.7382,5.55126,5.06176
301.09418,-710.57888,5.48114,5.03592
299.78196,-710.42096,5.4138,5.0119
298.46952,-710.2644,5.34908,4.99088
297.15686,-710.1092,5.28688,4.974
295.84398,-709.95536,5.22706,4.96214
294.5309,-709.80286,5.16956,4.9558
293.2176,-709.65168,5.1142,4.95512
291.9041,-709.50182,5.0609,4.9599
290.5904,-709.35328,5.00954,4.96958
289.2765,-709.20602,4.96002,4.98352
287.9624,-709.06004,4.9122,5.00108
286.64812,-708.91532,4.86598,5.02164
285.33366,-708.77186,4.82124,5.04456
284.01902,-708.62964,4.77786,5.06922
282.7042,-708.48866,4.73572,5.09498
281.3892,-708.3489,4.6947,5.12124
280.07402,-708.21036,4.6547,5.14734
278.75868,-708.07302,4.6156,5.17268
277.44318,-707.93686,4.5773,5.19684
276.12752,-707.80188,4.53974,5.2196
274.8117,-707.66806,4.50286,5.2409
273.49574,-707.5354,4.46664,5.26094
272.17962,-707.40388,4.4311,5.28008
270.86334,-707.27348,4.39624,5.29866
269.54692,-707.1442,4.36208,5.31704
268.23038,-707.01604,4.32866,5.33562
266.91368,-706.88896,4.29598,5.35476
265.59686,-706.76296,4.26406,5.3748
264.27992,-706.63804,4.23292,5.39612
262.96286,-706.51416,4.20258,5.4191
261.64566,-706.39134,4.17304,5.4441
260.32836,-706.26956,4.14432,5.47148
259.01094,-706.1488,4.11644,5.5016
257.6934,-706.02906,4.08942,5.53484
256.37576,-705.91032,4.06326,5.5715
255.05802,-705.79256,4.038,5.6117
253.74018,-705.67578,4.01366,5.65542
252.42224,-705.55998,3.99022,5.70248
251.10422,-705.44512,3.96772,5.7525
249.7861,-705.33122,3.94618,5.81066
248.4679,-705.21826,3.9256,5.87084
247.14962,-705.1062,3.906,5.93256
245.83126,-704.99506,3.88742,5.99532
244.51282,-704.88482,3.86986,6.05864
243.1943,-704.77546,3.85334,6.11642
241.87572,-704.66696,3.83788,6.17382
240.55708,-704.55934,3.8235,6.23038
239.23838,-704.45256,3.81022,6.28566
237.91962,-704.34662,3.79808,6.3392
236.60082,-704.2415,3.78708,6.39054
235.28198,-704.1372,3.77726,6.43924
233.96308,-704.0337,3.76866,6.48486
232.64414,-703.93098,3.7613,6.52698
231.32516,-703.82904,3.75518,6.56526
230.00616,-703.72788,3.75038,6.59934
228.68712,-703.62748,3.7469,6.62894
227.36804,-703.52782,3.74476,6.65376
226.04894,-703.4289,3.74398,6.67354
224.72984,-703.33072,3.74462,6.688
223.4107,-703.23324,3.74668,6.69688
222.09154,-703.13646,3.75018,6.69988
220.7724,-703.04036,3.75516,6.69674
219.45324,-702.94494,3.76166,6.6872
218.13408,-702.85018,3.7697,6.67098
216.81492,-702.75606,3.7793,6.64778
215.49578,-702.66258,3.7905,6.61736
214.17664,-702.56974,3.80332,6.57944
212.85752,-702.47752,3.81778,6.53376
211.5384,-702.3859,3.83392,6.48026
210.2193,-702.29488,3.85174,6.41928
208.90022,-702.20444,3.87128,6.35138
207.58116,-702.11458,3.89254,6.2775
206.26214,-702.02528,3.91546,6.19886
204.94316,-701.93652,3.93704,6.11682
203.62422,-701.8483,3.9597,6.03266
202.30532,-701.76062,3.98336,5.94774
200.98648,-701.67344,4.0079,5.86338
199.66768,-701.58676,4.03326,5.7809
198.34892,-701.50056,4.06228,5.70162
197.03022,-701.41486,4.0924,5.62688
195.71158,-701.3296,4.1235,5.55782
194.393,-701.2448,4.1555,5.49516
193.07448,-701.16044,4.18832,5.43918
191.75604,-701.07652,4.22184,5.38974
