# v_mps,ax_max_mps2,ay_max_mps2
0.0,21.0,4
4.0,20.0,6
8.0,16.0,6
12.0,12.0,9
16.0,10.0,10
20.0,10,12
24.0,10,12
28.0,10,14
32.0,9,14
36.0,8,14
40.0,8,14
44.0,8,14
48.0,7,14
52.0,6,14
56.0,5,14
60.0,5,14
66.0,4,13.1
72.0,3,13.2
80.0,3,13.3
90.0,2,13.4
