# v_mps,ax_max_mps2,ay1_max_mps2
10,10.42393,11.925713
11,10.625011,12.318741
12,10.839078,12.707829
13,11.066131,13.092977
14,11.30617,13.474185
15,11.559195,13.851453
16,11.825206,14.224781
17,12.104203,14.594169
18,12.396186,14.959617
19,12.701155,15.321125
20,13.01911,15.678693
21,13.350051,16.032321
22,13.693978,16.382009
23,14.050891,16.727757
24,14.42079,17.069565
25,14.803675,17.407433
26,15.199546,17.741361
27,15.608403,18.071349
28,16.030246,18.397397
29,16.465075,18.719505
30,16.91289,19.037673
31,17.373691,19.351901
32,17.847478,19.662189
33,18.334251,19.968537
34,18.83401,20.270945
35,19.346755,20.569413
36,19.872486,20.863941
37,20.411203,21.154529
38,20.962906,21.441177
39,21.527595,21.723885
40,22.10527,22.002653
41,22.695931,22.277481
42,23.299578,22.548369
43,23.916211,22.815317
44,24.54583,23.078325
45,25.188435,23.337393
46,25.844026,23.592521
47,26.512603,23.843709
48,27.194166,24.090957
49,27.888715,24.334265
50,28.59625,24.573633
51,29.316771,24.809061
52,30.050278,25.040549
53,30.796771,25.268097
54,31.55625,25.491705
55,32.328715,25.711373
56,33.114166,25.927101
57,33.912603,26.138889
58,34.724026,26.346737
59,35.548435,26.550645
60,36.38583,26.750613
61,37.236211,26.946641
62,38.099578,27.138729
63,38.975931,27.326877
64,39.86527,27.511085
65,40.767595,27.691353
66,41.682906,27.867681
67,42.611203,28.040069
68,43.552486,28.208517
69,44.506755,28.373025
70,45.47401,28.533593
71,46.454251,28.690221
72,47.447478,28.842909
73,48.453691,28.991657
74,49.47289,29.136465
75,50.505075,29.277333
76,51.550246,29.414261
77,52.608403,29.547249
78,53.679546,29.676297
79,54.763675,29.801405
80,55.86079,29.922573
