# v_mps,ax_max_mps2,ay_max_mps2
0.0,21.0,4
4.0,21.0,8
8.0,21.0,8
12.0,18.0,8.5
16.0,17.0,8.5
20.0,16,9
24.0,15,9
28.0,14,9
32.0,13,9
36.0,12,9
40.0,10,9
44.0,10,9
48.0,10,9
52.0,10,10
56.0,10,11
60.0,10,12
66.0,10,13
72.0,9,13
80.0,3.0,13
90.0,20.0,13
