# v_mps,ax_max_mps2,ay1_max_mps2
10,10.42393,14.895102
11,10.625011,15.078359
12,10.839078,15.262866
13,11.066131,15.448623
14,11.30617,15.63563
15,11.559195,15.823887
16,11.825206,16.013394
17,12.104203,16.204151
18,12.396186,16.396158
19,12.701155,16.589415
20,13.01911,16.783922
21,13.350051,16.979679
22,13.693978,17.176686
23,14.050891,17.374943
24,14.42079,17.57445
25,14.803675,17.775207
26,15.199546,17.977214
27,15.608403,18.180471
28,16.030246,18.384978
29,16.465075,18.590735
30,16.91289,18.797742
31,17.373691,19.005999
32,17.847478,19.215506
33,18.334251,19.426263
34,18.83401,19.63827
35,19.346755,19.851527
36,19.872486,20.066034
37,20.411203,20.281791
38,20.962906,20.498798
39,21.527595,20.717055
40,22.10527,20.936562
41,22.695931,21.157319
42,23.299578,21.379326
43,23.916211,21.602583
44,24.54583,21.82709
45,25.188435,22.052847
46,25.844026,22.279854
47,26.512603,22.508111
48,27.194166,22.737618
49,27.888715,22.968375
50,28.59625,23.200382
51,29.316771,23.433639
52,30.050278,23.668146
53,30.796771,23.903903
54,31.55625,24.14091
55,32.328715,24.379167
56,33.114166,24.618674
57,33.912603,24.859431
58,34.724026,25.101438
59,35.548435,25.344695
60,36.38583,25.589202
61,37.236211,25.834959
62,38.099578,26.081966
63,38.975931,26.330223
64,39.86527,26.57973
65,40.767595,26.830487
66,41.682906,27.082494
67,42.611203,27.335751
68,43.552486,27.590258
69,44.506755,27.846015
70,45.47401,28.103022
71,46.454251,28.361279
72,47.447478,28.620786
73,48.453691,28.881543
74,49.47289,29.14355
75,50.505075,29.406807
76,51.550246,29.671314
77,52.608403,29.937071
78,53.679546,30.204078
79,54.763675,30.472335
80,55.86079,30.741842
