# v_mps,ax_max_mps2,ay1_max_mps2
10,12.5014,13.083
11,12.8531,13.219
12,13.2135,13.359
13,13.5825,13.503
14,13.9602,13.651
15,14.3465,13.803
16,14.7415,13.959
17,15.1451,14.119
18,15.5574,14.283
19,15.9783,14.451
20,16.4078,14.623
21,16.8459,14.799
22,17.2926,14.979
23,17.7479,15.163
24,18.2118,15.351
25,18.6843,15.543
26,19.1654,15.739
27,19.6551,15.939
28,20.1534,16.143
29,20.6603,16.351
30,21.1758,16.563
31,21.6999,16.779
32,22.2326,16.999
33,22.7739,17.223
34,23.3238,17.451
35,23.8823,17.683
36,24.4494,17.919
37,25.0251,18.159
38,25.6094,18.403
39,26.2023,18.651
40,26.8038,18.903
41,27.4139,19.159
42,28.0326,19.419
43,28.6599,19.683
44,29.2958,19.951
45,29.9403,20.223
46,30.5934,20.499
47,31.2551,20.779
48,31.9254,21.063
49,32.6043,21.351
50,33.2918,21.643
51,33.9879,21.939
52,34.6926,22.239
53,35.4059,22.543
54,36.1278,22.851
55,36.8583,23.163
56,37.5974,23.479
57,38.3451,23.799
58,39.1014,24.123
59,39.8663,24.451
60,40.6398,24.783
61,41.4219,25.119
62,42.2126,25.459
63,43.0119,25.803
64,43.8198,26.151
65,44.6363,26.503
66,45.4614,26.8594
67,46.2951,27.2181
68,47.1374,27.5812
69,47.9883,27.9487
70,48.8478,28.3206
71,49.7159,28.6969
72,50.5926,29.0776
73,51.4779,29.4627
74,52.3718,29.8522
75,53.2743,30.2461
76,54.1854,30.6444
77,55.1051,31.0471
78,56.0334,31.4542
79,56.9703,31.8657
80,57.9158,32.2816
