# v_mps,ax_max_mps2,ay_max_mps2
0.0,40.0,4
4.0,40.0,4
8.0,14.0,4
9.0,14.0,4
10.0,12.0,10
11.0,11.0,12
12.0,11.0,17
13.0,10.0,17
14.0,10.0,17
16.0,10.0,18
20.0,10,21
24.0,9,21
28.0,9,21
32.0,8,21
36.0,8,23
40.0,8,23
44.0,8,23
48.0,7,23
52.0,6,23
56.0,5,23
60.0,5,23
66.0,4,23
72.0,3,23
80.0,3,13.3
90.0,2,13.4
