# v_mps,ax_max_mps2,ay_max_mps2
0.0,21.0,4
4.0,20.0,6
8.0,19.0,7
12.0,18.0,7.5
16.0,17.0,8
20.0,16,8.2
24.0,15,8.4
28.0,14,8.6
32.0,13,8.8
36.0,12,9.2
40.0,11,9.4
44.0,10.8,9.6
48.0,10.6,9.8
52.0,10.4,10
56.0,10.2,11
60.0,10.1,12
66.0,10,13.1
72.0,9,13.2
80.0,3.0,13.3
90.0,2.0,13.4
