# v_mps,ax_max_mps2,ay_max_mps2
0.0,21.0,4
4.0,20.0,6
8.0,19.0,7
12.0,18.0,8
16.0,17.0,8.5
20.0,12,8.7
24.0,11,8.8
28.0,10,9
32.0,9,9
36.0,8,9.2
40.0,8,9.4
44.0,8,9.6
48.0,7,9.8
52.0,6,10
56.0,5,11
60.0,5,12
66.0,4,13.1
72.0,3,13.2
80.0,3,13.3
90.0,2,13.4
