# v_mps,ax_max_mps2,ay_max_mps2
0.0,40.0,4
4.0,40.0,4
8.0,14.0,4
9.0,14.0,4
10.0,12.0,8
12.0,11.0,10
13.0,11.0,11
14.0,11.0,12
16.0,11.0,13
20.0,10,13
24.0,9,18
28.0,9,18
32.0,8,18
36.0,8,18
40.0,8,18
44.0,8,18
48.0,7,18
52.0,6,18
56.0,5,18
60.0,5,18
66.0,4,18
72.0,3,18
80.0,3,13.3
90.0,2,13.4
