# v_mps,ax_max_machines_mps2
9,9
12,13.5
18.67699454,18.9740289
18.86757611,18.96230302
19.05815769,18.95388169
19.24873927,18.94847311
19.43932084,18.94578548
19.62990242,18.94552703
19.820484,18.94740594
20.01106557,18.95113042
20.20164715,18.95640869
20.39222873,18.96294894
20.5828103,18.97045938
20.77339188,18.97864822
20.96397346,18.98722365
21.15455504,18.99589389
21.34513661,19.00436714
21.53571819,19.01235162
21.72629977,19.01955551
21.91688134,19.02568703
22.10746292,19.03045438
22.2980445,19.03356576
22.48862607,19.0347294
22.67920765,19.03365347
22.86978923,19.03004621
23.0603708,19.02361581
23.25095238,19.01407046
23.44153396,19.00111839
23.63211553,18.9844678
23.82269711,18.96382688
24.01327869,18.93890385
24.20386027,18.90940691
24.39444184,18.87504427
24.58502342,18.83552413
24.775605,18.79055469
24.96618657,18.73984416
25.15676815,18.68310077
25.34734973,18.62003268
25.5379313,18.55034813
25.72851288,18.47375531
25.91909446,18.38996243
26.10967603,18.29867769
26.30025761,18.1996093
26.49083919,18.09246547
26.68142077,17.9769544
26.87200234,17.85278429
27.06258392,17.71966336
27.2531655,17.5772998
27.44374707,17.42540182
27.63432865,17.26367763
27.82491023,17.09183543
25.19771459,13.86977081
25.45483412,13.85725188
25.71195366,13.84714241
25.9690732,13.83922612
26.22619273,13.83328673
26.48331227,13.82910795
26.74043181,13.8264735
26.99755134,13.82516708
27.25467088,13.82497244
27.51179042,13.82567327
27.76890995,13.8270533
28.02602949,13.82889623
28.28314903,13.83098579
28.54026856,13.8331057
28.7973881,13.83503967
29.05450764,13.83657141
29.31162717,13.83748465
29.56874671,13.8375631
29.82586625,13.83659048
30.08298578,13.8343505
30.34010532,13.83062687
30.59722486,13.82520333
30.85434439,13.81786358
31.11146393,13.80839134
31.36858346,13.79657032
31.625703,13.78218425
31.88282254,13.76501684
32.13994207,13.7448518
32.39706161,13.72147286
32.65418115,13.69466374
32.91130068,13.66420812
33.16842022,13.62988976
33.42553976,13.59149235
33.68265929,13.54879963
33.93977883,13.5015953
34.19689837,13.44966306
34.4540179,13.39278666
34.71113744,13.3307498
34.96825698,13.2633362
35.22537651,13.19032958
35.48249605,13.11151364
35.73961559,13.02667212
35.99673512,12.93558872
36.25385466,12.83804716
36.5109742,12.73383115
36.76809373,12.62272443
37.02521327,12.50451069
37.28233281,12.37897367
37.53945234,12.24589707
33.74979546,10.01758006
34.09418113,10.0014229
34.43856679,9.986994108
34.78295246,9.97413219
35.12733813,9.962675685
35.4717238,9.952463106
35.81610947,9.943332984
36.16049513,9.935123832
36.5048808,9.927674172
36.84926647,9.920822535
37.19365214,9.914407425
37.53803781,9.908267391
37.88242347,9.902240928
38.22680914,9.896166576
38.57119481,9.889882857
38.91558048,9.883228275
39.25996614,9.876041379
39.60435181,9.868160664
39.94873748,9.85942467
40.29312315,9.84967191
40.63750882,9.838740915
40.98189448,9.826470198
41.32628015,9.81269829
41.67066582,9.797263704
42.01505149,9.780004962
42.35943716,9.760760595
42.70382282,9.739369116
43.04820849,9.715669056
43.39259416,9.689498928
43.73697983,9.660697263
44.0813655,9.629102574
44.42575116,9.594553383
44.77013683,9.556888221
45.1145225,9.51594561
45.45890817,9.471564063
45.80329384,9.423582111
46.1476795,9.371838267
46.49206517,9.316171053
46.83645084,9.256419
47.18083651,9.19242063
47.52522218,9.124014456
47.86960784,9.051039009
48.21399351,8.973332799
48.55837918,8.890734361
48.90276485,8.803082211
49.24715051,8.710214873
49.59153618,8.611970867
49.93592185,8.508188716
50.28030752,8.398706944
41.4289697,7.762657459
41.85171429,7.741385555
42.27445887,7.721438006
42.69720346,7.702683263
43.11994805,7.68498978
43.54269264,7.66822601
43.96543723,7.652260407
44.38818182,7.636961422
44.81092641,7.622197511
45.233671,7.607837125
45.65641558,7.593748718
46.07916017,7.579800744
46.50190476,7.565861656
46.92464935,7.551799907
47.34739394,7.537483949
47.77013853,7.522782236
48.19288312,7.507563223
48.61562771,7.49169536
49.03837229,7.475047103
49.46111688,7.457486903
49.88386147,7.438883215
50.30660606,7.419104492
50.72935065,7.398019185
51.15209524,7.375495751
51.57483983,7.35140264
51.99758442,7.325608307
52.420329,7.297981205
52.84307359,7.268389785
53.26581818,7.236702504
53.68856277,7.202787812
54.11130736,7.166514164
54.53405195,7.127750013
54.95679654,7.086363811
55.37954113,7.042224013
55.80228571,6.995199072
56.2250303,6.945157439
56.64777489,6.89196757
57.07051948,6.835497916
57.49326407,6.775616931
57.91600866,6.71219307
58.33875325,6.645094783
58.76149784,6.574190526
59.18424242,6.499348751
59.60698701,6.420437911
60.0297316,6.337326459
60.45247619,6.249882849
60.87522078,6.157975534
61.29796537,6.061472968
61.72070996,5.960243603
50.06325591,5.876495067
50.57410546,5.847690169
51.08495501,5.819866007
51.59580456,5.79291372
52.10665411,5.766724451
52.61750366,5.741189339
53.12835321,5.716199526
53.63920276,5.691646153
54.15005231,5.667420359
54.66090186,5.643413286
55.17175141,5.619516075
55.68260096,5.595619866
56.19345051,5.571615801
56.70430006,5.547395019
57.21514961,5.522848662
57.72599916,5.49786787
58.23684871,5.472343785
58.74769826,5.446167546
59.25854781,5.419230296
59.76939736,5.391423173
60.28024691,5.36263732
60.79109646,5.332763876
61.30194601,5.301693985
61.81279556,5.269318783
62.32364511,5.235529415
62.83449466,5.20021702
63.34534421,5.163272738
63.85619376,5.124587711
64.36704331,5.084053079
64.87789286,5.041559984
65.38874241,4.996999566
65.89959196,4.950262965
66.41044151,4.901241323
66.92129107,4.849825779
67.43214062,4.795907477
67.94299017,4.739377554
68.45383972,4.680127153
68.96468927,4.618047415
69.47553882,4.553029479
69.98638837,4.484964487
70.49723792,4.41374358
71.00808747,4.339257898
71.51893702,4.261398582
72.02978657,4.180056773
72.54063612,4.095123611
73.05148567,4.006490239
73.56233522,3.914047795
74.07318477,3.817687421
74.58403432,3.717300258
61.34674359,3.92998985
61.97273077,3.888719883
62.59871795,3.848067997
63.22470513,3.807945356
63.85069231,3.768263123
64.47667949,3.72893246
65.10266667,3.689864532
65.72865385,3.650970502
66.35464103,3.612161533
66.98062821,3.573348786
67.60661538,3.534443428
68.23260256,3.495356619
68.85858974,3.455999525
69.48457692,3.416283307
70.1105641,3.376119128
70.73655128,3.335418154
71.36253846,3.294091545
71.98852564,3.252050467
72.61451282,3.209206081
73.2405,3.165469551
73.86648718,3.12075204
74.49247436,3.074964712
75.11846154,3.02801873
75.74444872,2.979825256
76.3704359,2.930295454
76.99642308,2.879340488
77.62241026,2.82687152
78.24839744,2.772799715
78.87438462,2.717036234
79.50037179,2.659492241
80.12635897,2.6000789
80.75234615,2.538707373
81.37833333,2.475288824
82.00432051,2.409734416
82.63030769,2.341955312
83.25629487,2.271862675
83.88228205,2.19936767
84.50826923,2.124381458
85.13425641,2.046815203
85.76024359,1.966580068
86.38623077,1.883587217
87.01221795,1.797747812
87.63820513,1.708973018
88.26419231,1.617173996
88.89017949,1.522261912
89.51616667,1.424147926
90.14215385,1.322743203
90.76814103,1.217958907
91.39412821,1.109706198
200,0.9
