# v_mps,ax_max_mps2,ay1_max_mps2
10,10.42393,13.144354
11,10.625011,13.412275
12,10.839078,13.68075
13,11.066131,13.949779
14,11.30617,14.219362
15,11.559195,14.489499
16,11.825206,14.76019
17,12.104203,15.031435
18,12.396186,15.303234
19,12.701155,15.575587
20,13.01911,15.848494
21,13.350051,16.121955
22,13.693978,16.39597
23,14.050891,16.670539
24,14.42079,16.945662
25,14.803675,17.221339
26,15.199546,17.49757
27,15.608403,17.774355
28,16.030246,18.051694
29,16.465075,18.329587
30,16.91289,18.608034
31,17.373691,18.887035
32,17.847478,19.16659
33,18.334251,19.446699
34,18.83401,19.727362
35,19.346755,20.008579
36,19.872486,20.29035
37,20.411203,20.572675
38,20.962906,20.855554
39,21.527595,21.138987
40,22.10527,21.422974
41,22.695931,21.707515
42,23.299578,21.99261
43,23.916211,22.278259
44,24.54583,22.564462
45,25.188435,22.851219
46,25.844026,23.13853
47,26.512603,23.426395
48,27.194166,23.714814
49,27.888715,24.003787
50,28.59625,24.293314
51,29.316771,24.583395
52,30.050278,24.87403
53,30.796771,25.165219
54,31.55625,25.456962
55,32.328715,25.749259
56,33.114166,26.04211
57,33.912603,26.335515
58,34.724026,26.629474
59,35.548435,26.923987
60,36.38583,27.219054
61,37.236211,27.514675
62,38.099578,27.81085
63,38.975931,28.107579
64,39.86527,28.404862
65,40.767595,28.702699
66,41.682906,29.00109
67,42.611203,29.300035
68,43.552486,29.599534
69,44.506755,29.899587
70,45.47401,30.200194
71,46.454251,30.501355
72,47.447478,30.80307
73,48.453691,31.105339
74,49.47289,31.408162
75,50.505075,31.711539
76,51.550246,32.01547
77,52.608403,32.319955
78,53.679546,32.624994
79,54.763675,32.930587
80,55.86079,33.236734
