# v_mps,ax_max_mps2,ay1_max_mps2
10,10.42393,13.121528
11,10.625011,13.416184
12,10.839078,13.708492
13,11.066131,13.998452
14,11.30617,14.286064
15,11.559195,14.571328
16,11.825206,14.854244
17,12.104203,15.134812
18,12.396186,15.413032
19,12.701155,15.688904
20,13.01911,15.962428
21,13.350051,16.233604
22,13.693978,16.502432
23,14.050891,16.768912
24,14.42079,17.033044
25,14.803675,17.294828
26,15.199546,17.554264
27,15.608403,17.811352
28,16.030246,18.066092
29,16.465075,18.318484
30,16.91289,18.568528
31,17.373691,18.816224
32,17.847478,19.061572
33,18.334251,19.304572
34,18.83401,19.545224
35,19.346755,19.783528
36,19.872486,20.019484
37,20.411203,20.253092
38,20.962906,20.484352
39,21.527595,20.713264
40,22.10527,20.939828
41,22.695931,21.164044
42,23.299578,21.385912
43,23.916211,21.605432
44,24.54583,21.822604
45,25.188435,22.037428
46,25.844026,22.249904
47,26.512603,22.460032
48,27.194166,22.667812
49,27.888715,22.873244
50,28.59625,23.076328
51,29.316771,23.277064
52,30.050278,23.475452
53,30.796771,23.671492
54,31.55625,23.865184
55,32.328715,24.056528
56,33.114166,24.245524
57,33.912603,24.432172
58,34.724026,24.616472
59,35.548435,24.798424
60,36.38583,24.978028
61,37.236211,25.155284
62,38.099578,25.330192
63,38.975931,25.502752
64,39.86527,25.672964
65,40.767595,25.840828
66,41.682906,26.006344
67,42.611203,26.169512
68,43.552486,26.330332
69,44.506755,26.488804
70,45.47401,26.644928
71,46.454251,26.798704
72,47.447478,26.950132
73,48.453691,27.099212
74,49.47289,27.245944
75,50.505075,27.390328
76,51.550246,27.532364
77,52.608403,27.672052
78,53.679546,27.809392
79,54.763675,27.944384
80,55.86079,28.077028
