# v_mps,ax_max_mps2,ay_max_mps2
0.0,9.0,4
4.0,9.0,4
6.0,9.0,4
8.0,9.0,4
9.0,9.0,8
10.0,9.0,12
11.0,9.0,12
12.0,9.0,17
13.0,9.0,17
14.0,9.0,17
16.0,9.0,18
20.0,9,20
24.0,9,20
28.0,9,20
32.0,9,20
36.0,9,21
40.0,9,21
44.0,9,21
48.0,9,21
52.0,9,21
56.0,9,21
60.0,9,23
66.0,9,23
72.0,9,23
80.0,9,13.3
90.0,9,13.4
