# v_mps,ax_max_mps2,ay1_max_mps2
10,13.8087923,13.121528
11,14.130857033,13.416184
12,14.459857312,13.708492
13,14.795793137,13.998452
14,15.138664508,14.286064
15,15.488471425,14.571328
16,15.845213888,14.854244
17,16.208891897,15.134812
18,16.579505452,15.413032
19,16.957054553,15.688904
20,17.3415392,15.962428
21,17.732959393,16.233604
22,18.131315132,16.502432
23,18.536606417,16.768912
24,18.948833248,17.033044
25,19.367995625,17.294828
26,19.794093548,17.554264
27,20.227127017,17.811352
28,20.667096032,18.066092
29,21.114000593,18.318484
30,21.5678407,18.568528
31,22.028616353,18.816224
32,22.496327552,19.061572
33,22.970974297,19.304572
34,23.452556588,19.545224
35,23.941074425,19.783528
36,24.436527808,20.019484
37,24.938916737,20.253092
38,25.448241212,20.484352
39,25.964501233,20.713264
40,26.4876968,20.939828
41,27.017827913,21.164044
42,27.554894572,21.385912
43,28.098896777,21.605432
44,28.649834528,21.822604
45,29.207707825,22.037428
46,29.772516668,22.249904
47,30.344261057,22.460032
48,30.922940992,22.667812
49,31.508556473,22.873244
50,32.1011075,23.076328
51,32.700594073,23.277064
52,33.307016192,23.475452
53,33.920373857,23.671492
54,34.540667068,23.865184
55,35.167895825,24.056528
56,35.802060128,24.245524
57,36.443159977,24.432172
58,37.091195372,24.616472
59,37.746166313,24.798424
60,38.4080728,24.978028
61,39.076914833,25.155284
62,39.752692412,25.330192
63,40.435405537,25.502752
64,41.125054208,25.672964
65,41.821638425,25.840828
66,42.525158188,26.006344
67,43.235613497,26.169512
68,43.953004352,26.330332
69,44.677330753,26.488804
70,45.4085927,26.644928
71,46.146790193,26.798704
72,46.891923232,26.950132
73,47.643991817,27.099212
74,48.402995948,27.245944
75,49.168935625,27.390328
76,49.941810848,27.532364
77,50.721621617,27.672052
78,51.508367932,27.809392
79,52.302049793,27.944384
80,53.1026672,28.077028
