# v_mps,ax_max_mps2,ay_max_mps2
0.0,20,8
4.0,20,8
8.0,20,8
12.0,20,8
16.0,20,8
20.0,20,8
24.0,20,8
28.0,20,8
32.0,18,8
36.0,18,8
40.0,18,8
44.0,16,8
48.0,15,8
52.0,14,8
56.0,12,8
60.0,11,8
66.0,10,8
72.0,9,8
80.0,3.0,8
90.0,20.0,10.0
100.0,20.0,10.0
110.0,20.0,20.0
120.0,20.0,20.0
130.0,20.0,20.0
140.0,20.0,20.0
150.0,20.0,20.0
160.0,20.0,20.0
170.0,20.0,20.0
180.0,20.0,20.0
190.0,20.0,20.0
200.0,20.0,20.0
210.0,20.0,20.0
220.0,20.0,20.0
