speed_mps,acceleration_mps2
10.0,4.1944966985433325
10.06006006006006,4.251365759861324
10.12012012012012,4.308663579039333
10.18018018018018,4.366378783209333
10.24024024024024,4.424500084369
10.3003003003003,4.483016279159402
10.36036036036036,4.54191624864267
10.42042042042042,4.601188958079755
10.48048048048048,4.660823456708023
10.54054054054054,4.720808877519021
10.6006006006006,4.78113443703611
10.66066066066066,4.841789435092196
10.72072072072072,4.902763254607375
10.78078078078078,4.9640453613666695
10.84084084084084,5.025625303797671
10.9009009009009,5.087492712748257
10.96096096096096,5.149637301264276
11.02102102102102,5.21204886436721
11.08108108108108,5.2747172788319165
11.14114114114114,5.33763250296424
11.2012012012012,5.400784576378768
11.26126126126126,5.464163619776501
11.32132132132132,5.527759834722511
11.38138138138138,5.591563503423668
11.44144144144144,5.655564988506301
11.5015015015015,5.719754732793895
11.56156156156156,5.784123259084802
11.62162162162162,5.848661169929898
11.68168168168168,5.913359147410259
11.74174174174174,5.978207952914897
11.8018018018018,6.0431984269184085
11.86186186186186,6.108321488758696
11.92192192192192,6.1735681364145885
11.98198198198198,6.238929446283645
12.04204204204204,6.304396572959718
12.1021021021021,6.369960749010738
12.16216216216216,6.435613284756323
12.22222222222222,6.501345568045538
12.28228228228228,6.567149064034545
12.342342342342342,6.633015314964288
12.402402402402402,6.6989359399381705
12.462462462462462,6.764902634699808
12.522522522522522,6.830907171410637
12.582582582582582,6.896941398427655
12.642642642642642,6.962997240081066
12.702702702702702,7.02906669645203
12.762762762762762,7.095141843150282
12.822822822822822,7.161214831091858
12.882882882882882,7.227277886276787
12.942942942942942,7.293323309566769
13.003003003003002,7.359343476462853
13.063063063063062,7.425330836883142
13.123123123123122,7.491277914940463
13.183183183183182,7.557177308720096
13.243243243243244,7.623021690057394
13.303303303303304,7.688803804315546
13.363363363363364,7.754516470163182
13.423423423423424,7.820152579352173
13.483483483483484,7.885705096495197
13.543543543543544,7.951167058843495
13.603603603603604,8.016531576064574
13.663663663663664,8.081791830019844
13.723723723723724,8.146941074542337
13.783783783783784,8.211972635214382
13.843843843843844,8.276879909145329
13.903903903903904,8.34165636474916
13.963963963963964,8.406295541522262
14.024024024024024,8.470791049821086
14.084084084084084,8.5351365706398
14.144144144144144,8.59932585538798
14.204204204204204,8.663352725668403
14.264264264264265,8.7272110730546
14.324324324324325,8.790894858868576
14.384384384384385,8.85439811395857
14.444444444444445,8.917714938476685
14.504504504504505,8.980839501656543
14.564564564564565,9.043766041591066
14.624624624624625,9.1064888650101
14.684684684684685,9.169002347058075
14.744744744744745,9.231300931071804
14.804804804804805,9.293379128358032
14.864864864864863,9.355231517971257
14.924924924924923,9.416852746491283
14.984984984984983,9.47823752780104
15.045045045045043,9.53938064286418
15.105105105105103,9.600276939502804
15.165165165165163,9.66092133217516
15.225225225225223,9.721308801753272
15.285285285285283,9.7814343953007
15.345345345345343,9.841293225850194
15.405405405405403,9.900880472181376
15.465465465465464,9.96019137859846
15.525525525525524,10.019221254707883
15.585585585585584,10.077965475196065
15.645645645645644,10.136419479606994
15.705705705705704,10.1945787721201
15.765765765765764,10.252438921327697
15.825825825825826,10.30999556001285
15.885885885885886,10.36724438492701
15.945945945945946,10.424181156567718
16.006006006006004,10.48080169895625
16.066066066066064,10.537101899415337
16.126126126126124,10.593077708346858
16.186186186186184,10.64872513900952
16.246246246246244,10.704040267296518
16.306306306306304,10.759019231513282
16.366366366366364,10.813658232155122
16.426426426426428,10.867953531684902
16.486486486486488,10.9219014543108
16.546546546546548,10.975498385763917
16.606606606606608,11.028740773075972
16.666666666666668,11.081625124357098
16.726726726726728,11.134148008573328
16.786786786786788,11.186306055324517
16.846846846846848,11.238095954621851
16.906906906906908,11.289514456665598
16.966966966966968,11.340558371622828
17.027027027027028,11.391224569405033
17.087087087087088,11.441509979445913
17.147147147147148,11.491411590478917
17.207207207207208,11.54092645031508
17.26726726726727,11.59005166562063
17.32732732732733,11.638784401694704
17.38738738738739,11.687121882247016
17.44744744744745,11.735061389175534
17.50750750750751,11.78260026234424
17.56756756756757,11.829735899360715
17.62762762762763,11.876465755353918
17.68768768768769,11.922787342751828
17.74774774774775,11.968698231059124
17.80780780780781,12.0141960466349
17.86786786786787,12.05927847247031
17.92792792792793,12.103943247966384
17.98798798798799,12.148188168711489
18.04804804804805,12.192011086259242
18.10810810810811,12.235409907906076
18.16816816816817,12.278382596468932
18.22822822822823,12.320927170063037
18.28828828828829,12.363041701879434
18.34834834834835,12.404724319962826
18.40840840840841,12.44597320698919
18.46846846846847,12.486786600043471
18.52852852852853,12.52716279039728
18.58858858858859,12.567100123286576
18.64864864864865,12.606596997689298
18.70870870870871,12.64565186610323
18.76876876876877,12.684263234323454
18.82882882882883,12.722429661220216
18.88888888888889,12.760149758516512
18.94894894894895,12.797422190565856
19.00900900900901,12.834245674129876
19.06906906906907,12.870618978156138
19.12912912912913,12.906540923555644
19.18918918918919,12.942010382980694
19.24924924924925,12.977026280602468
19.30930930930931,13.011587591888778
19.36936936936937,13.04569334338176
19.42942942942943,13.079342612475426
19.48948948948949,13.112534527193532
19.54954954954955,13.14526826596721
19.60960960960961,13.177543057412622
19.66966966966967,13.209358180108614
19.72972972972973,13.240712962374504
19.78978978978979,13.271606782047709
19.84984984984985,13.302039066261417
19.90990990990991,13.33200929122238
19.96996996996997,13.361516981988398
20.03003003003003,13.39056171224625
20.09009009009009,13.41914310408919
20.15015015015015,13.447260827794766
20.21021021021021,13.474914601602402
20.27027027027027,13.502104191491185
20.33033033033033,13.528829410957478
20.39039039039039,13.55509012079258
