# v_mps,ax_max_mps2,ay1_max_mps2
10,10.424,13.262
11,10.625,13.438
12,10.839,13.616
13,11.066,13.796
14,11.306,13.978
15,11.559,14.163
16,11.825,14.35
17,12.104,14.539
18,12.396,14.731
19,12.701,14.925
20,13.019,15.121
21,13.35,15.32
22,13.694,15.521
23,14.051,15.724
24,14.421,15.93
25,14.804,16.138
26,15.2,16.348
27,15.608,16.56
28,16.03,16.775
29,16.465,16.992
30,16.913,17.212
31,17.374,17.433
32,17.847,17.657
33,18.334,17.884
34,18.834,18.112
35,19.347,18.343
36,19.872,18.577
37,20.411,18.812
38,20.963,19.05
39,21.528,19.29
40,22.105,19.533
41,22.696,19.778
42,23.3,20.025
43,23.916,20.275
44,24.546,20.526
45,25.188,20.78
46,25.844,21.037
47,26.513,21.296
48,27.194,21.557
49,27.889,21.82
50,28.596,22.086
51,29.317,22.354
52,30.05,22.624
53,30.797,22.896
54,31.556,23.171
55,32.329,23.449
56,33.114,23.728
57,33.913,24.01
58,34.724,24.294
59,35.548,24.581
60,36.386,24.869
61,37.236,25.161
62,38.1,25.454
63,38.976,25.75
64,39.865,26.048
65,40.768,26.348
66,41.683,26.651
67,42.611,26.956
68,43.552,27.263
69,44.507,27.573
70,45.474,27.884
71,46.454,28.199
72,47.447,28.515
73,48.454,28.834
74,49.473,29.155
75,50.505,29.479
76,51.55,29.804
77,52.608,30.132
78,53.68,30.463
79,54.764,30.796
80,55.861,31.131
