# v_mps,ax_max_mps2,ay_max_mps2
0.0,19,10
4.0,19,9
8.0,18,8.9
12.0,17,8.8
16.0,17,8.6
20.0,16,8.4
24.0,16,8.2
28.0,15,8.1
32.0,14,8
36.0,12,7.9
40.0,10,7.8
44.0,8,7.7
48.0,7,7.6
52.0,6,7.5
56.0,5,7.4
60.0,4,7.3
66.0,3,7.2
72.0,3,7.1
80.0,3,7
90.0,2,6.9
