# v_mps,ax_max_machines_mps2
9,10
12,15
18.67699454,21.08225433
18.86757611,21.06922558
19.05815769,21.05986854
19.24873927,21.05385901
19.43932084,21.05087276
19.62990242,21.05058559
19.820484,21.05267327
20.01106557,21.05681158
20.20164715,21.06267632
20.39222873,21.06994327
20.5828103,21.0782882
20.77339188,21.08738691
20.96397346,21.09691517
21.15455504,21.10654877
21.34513661,21.11596349
21.53571819,21.12483513
21.72629977,21.13283945
21.91688134,21.13965225
22.10746292,21.14494931
22.2980445,21.1484064
22.48862607,21.14969933
22.67920765,21.14850386
22.86978923,21.14449579
23.0603708,21.1373509
23.25095238,21.12674496
23.44153396,21.11235377
23.63211553,21.09385311
23.82269711,21.07091875
24.01327869,21.0432265
24.20386027,21.01045212
24.39444184,20.97227141
24.58502342,20.92836014
24.775605,20.8783941
24.96618657,20.82204907
25.15676815,20.75900085
25.19771459,15.41085645
25.45483412,15.39694653
25.71195366,15.38571379
25.9690732,15.37691791
26.22619273,15.37031859
26.48331227,15.3656755
26.74043181,15.36274833
26.99755134,15.36129676
27.25467088,15.36108049
27.51179042,15.36185919
27.76890995,15.36339255
28.02602949,15.36544026
28.28314903,15.36776199
28.54026856,15.37011744
28.7973881,15.3722663
29.05450764,15.37396823
29.31162717,15.37498294
29.56874671,15.37507011
29.82586625,15.37398942
30.08298578,15.37150055
30.34010532,15.36736319
30.59722486,15.36133703
30.85434439,15.35318175
31.11146393,15.34265704
31.36858346,15.32952258
31.625703,15.31353806
31.88282254,15.29446316
32.13994207,15.27205756
32.39706161,15.24608096
32.65418115,15.21629304
32.91130068,15.18245347
33.16842022,15.14432196
33.42553976,15.10165817
33.68265929,15.05422181
33.74979546,12.13064451
34.09418113,12.11269211
34.43856679,12.09666012
34.78295246,12.0823691
35.12733813,12.06963965
35.4717238,12.05829234
35.81610947,12.04814776
36.16049513,12.03902648
36.5048808,12.03074908
36.84926647,12.02313615
37.19365214,12.01600825
37.53803781,12.00918599
37.88242347,12.00248992
38.22680914,11.99574064
38.57119481,11.98875873
38.91558048,11.98136475
39.25996614,11.97337931
39.60435181,11.96462296
39.94873748,11.9549163
40.29312315,10.9440799
40.63750882,10.93193435
40.98189448,10.91830022
41.32628015,10.9029981
41.4289697,7.625174954
41.85171429,7.601539506
42.27445887,7.579375562
42.69720346,7.558536959
43.11994805,7.538877533
43.54269264,7.520251122
43.96543723,7.502511563
44.38818182,7.485512691
44.81092641,7.469108345
45.233671,7.453152361
45.65641558,7.437498576
46.07916017,7.422000827
46.50190476,7.406512951
46.92464935,7.390888785
47.34739394,7.374982165
47.77013853,7.358646929
48.19288312,7.341736914
48.61562771,7.324105955
49.03837229,7.305607892
49.46111688,7.286096559
49.88386147,7.265425794
50.06325591,5.529438963
50.57410546,5.497433521
51.08495501,5.466517785
51.59580456,5.4365708
52.10665411,5.407471612
52.61750366,5.379099266
53.12835321,5.351332807
53.63920276,5.324051281
54.15005231,5.297133732
54.66090186,5.270459207
55.17175141,5.24390675
55.68260096,5.217355407
56.19345051,5.190684223
56.70430006,5.163772243
57.21514961,5.136498513
57.72599916,5.108742078
58.23684871,5.080381983
58.74769826,5.051297273
59.25854781,5.021366995
59.76939736,4.990470192
60.28024691,4.958485911
60.79109646,4.925293196
61.30194601,4.890771094
61.34674359,4.366655389
61.97273077,4.32079987
62.59871795,4.275631108
63.22470513,4.231050395
63.85069231,4.186959025
64.47667949,4.143258289
65.10266667,4.09984948
65.72865385,4.056633891
66.35464103,4.013512814
66.98062821,3.97038754
67.60661538,3.927159364
68.23260256,3.883729577
68.85858974,3.839999472
69.48457692,3.795870341
70.1105641,3.751243476
70.73655128,3.706020171
71.36253846,3.660101717
71.98852564,3.613389408
72.61451282,3.565784534
73.2405,3.51718839
73.86648718,3.467502267
74.49247436,3.416627458
75.11846154,3.364465255
75.74444872,3.310916951
76.3704359,3.255883838
76.99642308,3.199267209
77.62241026,3.140968356
78.24839744,3.080888572
78.87438462,3.018929149
79.50037179,2.954991379
80.12635897,2.888976555
80.75234615,2.82078597
81.37833333,2.750320915
82.00432051,2.677482684
82.63030769,2.602172569
83.25629487,2.524291861
83.88228205,2.443741855
84.50826923,2.360423842
85.13425641,2.274239114
85.76024359,2.185088964
86.38623077,2.092874685
87.01221795,1.997497569
87.63820513,1.898858909
88.26419231,1.796859996
88.89017949,1.691402124
89.51616667,1.582386584
90.14215385,1.46971467
90.76814103,1.353287674
91.39412821,1.233006887
200,1
