# v_mps,ax_max_mps2,ay1_max_mps2
10,15.635895,13.121528
11,15.9375165,13.416184
12,16.258617,13.708492
13,16.5991965,13.998452
14,16.959255,14.286064
15,17.3387925,14.571328
16,17.737809,14.854244
17,18.1563045,15.134812
18,18.594279,15.413032
19,19.0517325,15.688904
20,19.528665,15.962428
21,20.0250765,16.233604
22,20.540967,16.502432
23,21.0763365,16.768912
24,21.631185,17.033044
25,22.2055125,17.294828
26,22.799319,17.554264
27,23.4126045,17.811352
28,24.045369,18.066092
29,24.6976125,18.318484
30,25.369335,18.568528
31,26.0605365,18.816224
32,26.771217,19.061572
33,27.5013765,19.304572
34,28.251015,19.545224
35,29.0201325,19.783528
36,29.808729,20.019484
37,30.6168045,20.253092
38,31.444359,20.484352
39,32.2913925,20.713264
40,33.157905,20.939828
41,34.0438965,21.164044
42,34.949367,21.385912
43,35.8743165,21.605432
44,36.818745,21.822604
45,37.7826525,22.037428
46,38.766039,22.249904
47,39.7689045,22.460032
48,40.791249,22.667812
49,41.8330725,22.873244
50,42.894375,23.076328
51,43.9751565,23.277064
52,45.075417,23.475452
53,46.1951565,23.671492
54,47.334375,23.865184
55,48.4930725,24.056528
56,49.671249,24.245524
57,50.8689045,24.432172
58,52.086039,24.616472
59,53.3226525,24.798424
60,54.578745,24.978028
61,55.8543165,25.155284
62,57.149367,25.330192
63,58.4638965,25.502752
64,59.797905,25.672964
65,61.1513925,25.840828
66,62.524359,26.006344
67,63.9168045,26.169512
68,65.328729,26.330332
69,66.7601325,26.488804
70,68.211015,26.644928
71,69.6813765,26.798704
72,71.171217,26.950132
73,72.6805365,27.099212
74,74.209335,27.245944
75,75.7576125,27.390328
76,77.325369,27.532364
77,78.9126045,27.672052
78,80.519319,27.809392
79,82.1455125,27.944384
80,83.791185,28.077028
