# v_mps,ax_max_mps2,ay_max_mps2
0.0,19,5
4.0,19,7
8.0,19,7
12.0,18,8
16.0,17,8
20.0,16,9
24.0,15,9
28.0,14,9
32.0,13,9
36.0,12,10
40.0,10,11
44.0,10,12
48.0,10,13
52.0,10,14
56.0,10,14
60.0,10,14
66.0,10,14
72.0,9,14
80.0,7,14
90.0,5,15
